,Steps,Energy @ 1.5,Energy @ 1.7,Energy @ 1.9,Energy @ 2.0999999999999996,Energy @ 2.3,Energy @ 2.5,Energy @ 2.6999999999999997,Energy @ 2.8999999999999995,Energy @ 3.0999999999999996,Energy @ 3.3
128,128064.90395197598,-1844.0,-1968.0,-1804.0,-1692.0,-1520.0,-1296.0,-1012.0,-808.0,-608.0,-720.0
129,129065.4032016008,-1864.0,-1920.0,-1800.0,-1688.0,-1484.0,-1204.0,-948.0,-832.0,-712.0,-668.0
130,130065.90245122561,-1852.0,-1940.0,-1792.0,-1764.0,-1420.0,-1160.0,-948.0,-876.0,-660.0,-708.0
131,131066.40170085042,-1836.0,-1984.0,-1780.0,-1784.0,-1456.0,-1176.0,-856.0,-832.0,-764.0,-684.0
132,132066.90095047525,-1844.0,-1988.0,-1820.0,-1728.0,-1520.0,-1248.0,-896.0,-900.0,-708.0,-720.0
133,133067.40020010003,-1848.0,-1996.0,-1848.0,-1756.0,-1496.0,-1264.0,-972.0,-876.0,-816.0,-764.0
134,134067.89944972485,-1852.0,-1948.0,-1820.0,-1768.0,-1500.0,-1228.0,-956.0,-812.0,-752.0,-772.0
135,135068.39869934967,-1844.0,-1984.0,-1856.0,-1828.0,-1476.0,-1148.0,-992.0,-852.0,-748.0,-796.0
136,136068.89794897448,-1852.0,-1924.0,-1844.0,-1828.0,-1536.0,-1120.0,-976.0,-900.0,-788.0,-828.0
137,137069.3971985993,-1860.0,-1896.0,-1860.0,-1788.0,-1564.0,-1092.0,-988.0,-904.0,-692.0,-700.0
138,138069.8964482241,-1852.0,-1932.0,-1940.0,-1812.0,-1572.0,-1168.0,-964.0,-960.0,-848.0,-776.0
139,139070.39569784893,-1860.0,-1960.0,-1936.0,-1744.0,-1612.0,-1220.0,-1008.0,-916.0,-876.0,-776.0
140,140070.89494747372,-1852.0,-1952.0,-1928.0,-1732.0,-1496.0,-1216.0,-1036.0,-872.0,-848.0,-780.0
141,141071.39419709853,-1836.0,-1948.0,-1968.0,-1748.0,-1512.0,-1192.0,-992.0,-808.0,-856.0,-840.0
142,142071.89344672335,-1804.0,-1924.0,-1924.0,-1708.0,-1508.0,-1128.0,-952.0,-800.0,-920.0,-780.0
143,143072.39269634816,-1824.0,-1960.0,-1872.0,-1728.0,-1472.0,-1044.0,-940.0,-960.0,-908.0,-736.0
144,144072.89194597298,-1792.0,-2008.0,-1820.0,-1788.0,-1344.0,-1048.0,-932.0,-892.0,-840.0,-692.0
145,145073.3911955978,-1812.0,-1980.0,-1724.0,-1728.0,-1380.0,-1080.0,-940.0,-784.0,-832.0,-724.0
146,146073.8904452226,-1800.0,-1964.0,-1768.0,-1764.0,-1420.0,-1152.0,-884.0,-864.0,-848.0,-728.0
147,147074.38969484743,-1840.0,-1944.0,-1832.0,-1636.0,-1408.0,-1180.0,-860.0,-764.0,-828.0,-752.0
148,148074.88894447224,-1796.0,-1944.0,-1868.0,-1628.0,-1452.0,-1128.0,-972.0,-820.0,-800.0,-784.0
149,149075.38819409703,-1828.0,-1972.0,-1860.0,-1652.0,-1464.0,-1104.0,-1048.0,-816.0,-768.0,-764.0
150,150075.88744372185,-1836.0,-1928.0,-1892.0,-1712.0,-1452.0,-1148.0,-1088.0,-856.0,-768.0,-864.0
151,151076.38669334666,-1844.0,-1948.0,-1912.0,-1636.0,-1512.0,-1136.0,-1044.0,-828.0,-776.0,-852.0
152,152076.88594297148,-1848.0,-1944.0,-1932.0,-1652.0,-1496.0,-1152.0,-1048.0,-900.0,-800.0,-768.0
153,153077.3851925963,-1832.0,-1948.0,-1900.0,-1672.0,-1476.0,-1140.0,-1068.0,-916.0,-860.0,-688.0
154,154077.8844422211,-1840.0,-1896.0,-1892.0,-1676.0,-1456.0,-1152.0,-1060.0,-892.0,-772.0,-752.0
155,155078.38369184593,-1820.0,-1864.0,-1932.0,-1700.0,-1508.0,-1184.0,-1076.0,-956.0,-860.0,-784.0
156,156078.8829414707,-1828.0,-1864.0,-1876.0,-1704.0,-1544.0,-1168.0,-980.0,-948.0,-920.0,-652.0
157,157079.38219109553,-1852.0,-1908.0,-1784.0,-1680.0,-1504.0,-1232.0,-928.0,-912.0,-860.0,-708.0
158,158079.88144072035,-1844.0,-1916.0,-1784.0,-1656.0,-1588.0,-1188.0,-932.0,-860.0,-860.0,-696.0
159,159080.38069034516,-1844.0,-1920.0,-1812.0,-1696.0,-1528.0,-1208.0,-988.0,-796.0,-840.0,-660.0
160,160080.87993996998,-1864.0,-1940.0,-1808.0,-1672.0,-1540.0,-1176.0,-976.0,-888.0,-788.0,-644.0
161,161081.3791895948,-1852.0,-1924.0,-1880.0,-1752.0,-1512.0,-1128.0,-916.0,-824.0,-776.0,-704.0
162,162081.8784392196,-1860.0,-1904.0,-1872.0,-1780.0,-1524.0,-1132.0,-952.0,-816.0,-768.0,-756.0
163,163082.37768884443,-1832.0,-1964.0,-1888.0,-1712.0,-1432.0,-1148.0,-1020.0,-852.0,-852.0,-872.0
164,164082.87693846924,-1856.0,-1948.0,-1828.0,-1736.0,-1428.0,-1148.0,-964.0,-880.0,-732.0,-760.0
165,165083.37618809403,-1820.0,-1928.0,-1784.0,-1712.0,-1472.0,-1124.0,-956.0,-912.0,-732.0,-728.0
166,166083.87543771885,-1848.0,-1968.0,-1804.0,-1624.0,-1432.0,-1120.0,-944.0,-880.0,-816.0,-684.0
167,167084.37468734366,-1864.0,-1924.0,-1860.0,-1680.0,-1448.0,-1168.0,-1040.0,-836.0,-824.0,-724.0
168,168084.87393696848,-1852.0,-1960.0,-1860.0,-1612.0,-1376.0,-1196.0,-1060.0,-896.0,-820.0,-740.0
169,169085.3731865933,-1852.0,-1928.0,-1912.0,-1648.0,-1384.0,-1188.0,-1128.0,-916.0,-748.0,-776.0
170,170085.8724362181,-1892.0,-1940.0,-1904.0,-1684.0,-1372.0,-1188.0,-1064.0,-844.0,-716.0,-800.0
171,171086.37168584293,-1880.0,-1944.0,-1820.0,-1732.0,-1336.0,-1156.0,-1032.0,-856.0,-752.0,-864.0
172,172086.8709354677,-1856.0,-1928.0,-1836.0,-1756.0,-1404.0,-1068.0,-1000.0,-804.0,-888.0,-780.0
173,173087.37018509253,-1856.0,-1920.0,-1804.0,-1688.0,-1292.0,-1064.0,-988.0,-820.0,-804.0,-764.0
174,174087.86943471734,-1840.0,-1948.0,-1864.0,-1748.0,-1376.0,-1112.0,-1016.0,-868.0,-804.0,-800.0
175,175088.36868434216,-1852.0,-1944.0,-1880.0,-1760.0,-1376.0,-1052.0,-940.0,-888.0,-792.0,-712.0
176,176088.86793396698,-1832.0,-1936.0,-1924.0,-1696.0,-1476.0,-1020.0,-988.0,-872.0,-856.0,-648.0
177,177089.3671835918,-1848.0,-1960.0,-1912.0,-1708.0,-1400.0,-1084.0,-936.0,-824.0,-864.0,-712.0
178,178089.8664332166,-1860.0,-1896.0,-1904.0,-1764.0,-1432.0,-1064.0,-904.0,-844.0,-872.0,-724.0
179,179090.36568284142,-1872.0,-1928.0,-1948.0,-1816.0,-1424.0,-1136.0,-964.0,-956.0,-840.0,-656.0
180,180090.86493246624,-1868.0,-1932.0,-1916.0,-1748.0,-1436.0,-1132.0,-944.0,-904.0,-804.0,-756.0
181,181091.36418209103,-1852.0,-1908.0,-1920.0,-1716.0,-1368.0,-1064.0,-992.0,-900.0,-864.0,-808.0
182,182091.86343171584,-1852.0,-1960.0,-1916.0,-1576.0,-1348.0,-976.0,-952.0,-896.0,-872.0,-772.0
183,183092.36268134066,-1868.0,-1960.0,-1928.0,-1688.0,-1436.0,-1044.0,-972.0,-952.0,-816.0,-804.0
184,184092.86193096548,-1900.0,-1984.0,-1880.0,-1756.0,-1476.0,-1040.0,-980.0,-904.0,-856.0,-784.0
185,185093.3611805903,-1904.0,-1992.0,-1872.0,-1752.0,-1516.0,-964.0,-908.0,-928.0,-888.0,-796.0
186,186093.8604302151,-1884.0,-1952.0,-1868.0,-1796.0,-1540.0,-1036.0,-892.0,-936.0,-840.0,-792.0
187,187094.35967983992,-1872.0,-1908.0,-1764.0,-1760.0,-1616.0,-1064.0,-812.0,-872.0,-904.0,-684.0
188,188094.8589294647,-1868.0,-1944.0,-1836.0,-1744.0,-1476.0,-1088.0,-876.0,-980.0,-716.0,-712.0
189,189095.35817908953,-1884.0,-1900.0,-1884.0,-1764.0,-1428.0,-1124.0,-936.0,-956.0,-820.0,-744.0
190,190095.85742871434,-1876.0,-1940.0,-1928.0,-1772.0,-1392.0,-1076.0,-984.0,-876.0,-876.0,-712.0
191,191096.35667833916,-1892.0,-1924.0,-1840.0,-1736.0,-1404.0,-1164.0,-896.0,-948.0,-940.0,-680.0
192,192096.85592796397,-1884.0,-1900.0,-1856.0,-1764.0,-1532.0,-1084.0,-996.0,-976.0,-900.0,-796.0
193,193097.3551775888,-1884.0,-1856.0,-1880.0,-1788.0,-1456.0,-1100.0,-952.0,-952.0,-1040.0,-760.0
194,194097.8544272136,-1924.0,-1868.0,-1868.0,-1784.0,-1488.0,-1140.0,-960.0,-852.0,-916.0,-768.0
195,195098.35367683842,-1932.0,-1908.0,-1852.0,-1760.0,-1368.0,-1168.0,-940.0,-928.0,-848.0,-812.0
196,196098.85292646324,-1928.0,-1904.0,-1872.0,-1712.0,-1336.0,-1124.0,-884.0,-984.0,-856.0,-788.0
197,197099.35217608802,-1924.0,-1892.0,-1836.0,-1680.0,-1384.0,-1088.0,-896.0,-968.0,-740.0,-780.0
198,198099.85142571284,-1912.0,-1900.0,-1808.0,-1632.0,-1404.0,-1104.0,-860.0,-908.0,-828.0,-600.0
199,199100.35067533766,-1924.0,-1872.0,-1832.0,-1568.0,-1468.0,-1068.0,-844.0,-908.0,-836.0,-724.0
200,200100.84992496247,-1920.0,-1908.0,-1856.0,-1640.0,-1428.0,-1116.0,-896.0,-932.0,-784.0,-680.0
201,201101.3491745873,-1908.0,-1936.0,-1876.0,-1596.0,-1556.0,-1076.0,-920.0,-896.0,-848.0,-712.0
202,202101.8484242121,-1904.0,-1968.0,-1828.0,-1612.0,-1524.0,-1056.0,-960.0,-1020.0,-852.0,-744.0
